제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크
대학어디가 발표 기준 인문계 입시 결과(누적백분위),,,"ㅇㅇ(14.39) 2025.05.28 19:59:25
조회 97 추천 0 댓글 0",추천 0,조회 97,2025.05.28 19:59:25,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=85&page=1
갤주 일 안하노,,ㅇ,"동갤러(210.108) 2025.03.25 12:40:28
조회 99 추천 0 댓글 0",추천 0,조회 99,2025.03.25 12:40:28,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=84&page=1
"탑플레이어포커 머니상의 세계, 진짜 팁이야!",,"포커에서 머니상을 따고 싶다면 몇 가지 팁이 있어. 잘 들어봐. 첫째, 자금 관리가 아주 중요해. 내 bankroll을 철저하게 관리해야 해. 예를 들어, 한 게임에 너무 많은 베팅을 하지 말고 항상 적당한 금액만 걸어야 해. 이렇게 하면 연패하더라도 쉽게 게임에서 탈락하지 않아.둘째, 상대방을 잘 분석해야 해. 플레이어의 스타일을 파악하고, 그들이 어떤 상황에서 어떻게 행동하는지 잘 관찰해. 타이트한 플레이어와 루즈한 플레이어를 구분하고, 그에 맞춰 전략을 바꿔야 해.셋째, 포커의 기본 원칙, 즉 포지션을 잊지 말고 항상 신경 써. 초기 포지션에서는 좀 더 신중하게 플레이하고, 후반 포지션에서는 공격적으로 나가도 좋아. 이렇게 상황에 맞게 변화를 줘야 해.마지막으로, 감정을 잘 다스려야 해. 감정이 격해지면 실수하기 쉬우니까, 침착함을 잃지 않는 게 중요해. 칩이 날아가더라도 차분하게 다음 판을 준비하는 마음가짐이 필요해.이런 팁들을 기억하면서 플레이하면 머니상을 따는 데 큰 도움이 될 거야. 포커의 매력을 느끼면서 즐거운 게임 시간 가져!","동갤러(218.36) 2025.03.21 02:15:54
조회 2586 추천 0 댓글 5",추천 0,조회 2586,2025.03.21 02:15:54,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=83&page=1
디씨하는 동국고생 없노?,,갤러리 활성화 좀 시키자,"동국붕이(115.143) 2025.03.17 23:18:09
조회 167 추천 1 댓글 1",추천 1,조회 167,2025.03.17 23:18:09,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=82&page=1
이런 거,,만들지마세요,"ㅇㅇ 2025.02.25 23:57:38
조회 102 추천 0 댓글 0",추천 0,조회 102,2025.02.25 23:57:38,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=81&page=1
이런 갤러리 만들지 맙시다!,,이러면 안돼요.,"ㅇㅇ 2025.02.18 20:27:42
조회 155 추천 0 댓글 0",추천 0,조회 155,2025.02.18 20:27:42,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=80&page=1
이런 갤러리 만들지 마세요,,나빠요,"ㅇㅇ 2025.02.16 21:31:20
조회 152 추천 0 댓글 0",추천 0,조회 152,2025.02.16 21:31:20,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=79&page=1
12기 졸업 축하한다!!!!,,"다들 댓글 남겨라
안남기면 서운할 예정","동갤러(118.235) 2025.01.14 00:39:11
조회 192 추천 1 댓글 1",추천 1,조회 192,2025.01.14 00:39:11,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=78&page=1
면접좀 도와,,예비15긴데 면접 도움 받는다 선착순,"동갤러(180.230) 2024.12.08 18:23:52
조회 269 추천 0 댓글 1",추천 0,조회 269,2024.12.08 18:23:52,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=77&page=1
가난해서 진보인게 아니라,,진보여서 가난한거다,"동갤러(118.235) 2024.11.25 23:40:14
조회 385 추천 7 댓글 1",추천 7,조회 385,2024.11.25 23:40:14,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=76&page=1
수행평가채점에,,"자기 정치적 성향 반영하는건 실망이다..

첫눈에 반했는데..
보수라고 믿었는데..","수학(106.101) 2024.11.25 23:09:10
조회 355 추천 7 댓글 1",추천 7,조회 355,2024.11.25 23:09:10,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=74&page=1
생일이,,5월 23일이면 어떨거같노?,"523(125.142) 2024.11.22 22:49:52
조회 326 추천 7 댓글 3",추천 7,조회 326,2024.11.22 22:49:52,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=73&page=1
반갑노...,,동국고 마이너갤,"수학(58.230) 2024.11.22 22:48:37
조회 179 추천 0 댓글 0",추천 0,조회 179,2024.11.22 22:48:37,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=72&page=1
수능 D-3 갤러들에게,,"다들 고마웠고
다같이 잘해보자!!!
화이팅
team-dong gael","동갤러(118.235) 2024.11.10 21:36:14
조회 239 추천 0 댓글 0",추천 0,조회 239,2024.11.10 21:36:14,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=71&page=1
타면 뒤진다,,지쿠터 타면,"지쿠터 타지마라(211.114) 2024.11.06 10:18:23
조회 201 추천 0 댓글 0",추천 0,조회 201,2024.11.06 10:18:23,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=70&page=1
"외출ㅇ,ㄴ 지쿠터",,ㅅㅂ,"지쿠터 타지마라(211.114) 2024.11.06 10:17:37
조회 149 추천 2 댓글 0",추천 2,조회 149,2024.11.06 10:17:37,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=69&page=1
지쿠터 타지마라 시즌2,,"ㅇㄷ

프롬프트
Gore.scooter.injured.broken.bloody.serious.painful.sprain.die.death.car accident.creepy
네거티브
프롬프트
샘플링 DPM++ 2M Karras
스타일 None","지쿠터 타지마라(211.114) 2024.11.06 10:10:05
조회 365 추천 1 댓글 4",추천 1,조회 365,2024.11.06 10:10:05,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=68&page=1
동국고 근황,,"자기 성적이 안 좋아서 수시 못 쓰는 걸 수시 못쓴다고 선생님 욕함
자기 자리는 제일 더러운데 분리수거 안한다고 애들한테 욕함
선생님한테 욕하지 말고 자습시간에 자지 말고 공부하고, 애들한테 분리수거 안한다고 욕할 시간에 자기 자리나 깨끗하게 치워줬으면 해❤+","건전한동국고캠페인(180.231) 2024.11.02 23:18:32
조회 1127 추천 43 댓글 2",추천 43,조회 1127,2024.11.02 23:18:32,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=67&page=1
집 가고 싶으면 개추,,,"동갤러(211.114) 2024.10.29 15:26:32
조회 303 추천 3 댓글 2",추천 3,조회 303,2024.10.29 15:26:32,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=66&page=1
