제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크
영광아 잘생겼다!,,화이팅!!!!,"짝사랑녀(106.101) 2025.07.28 21:06:39
조회 19 추천 0 댓글 0",추천 0,조회 19,2025.07.28 21:06:39,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=164&page=1
"평경에 윤채은 ? 윤채윤 ? 아시는분,,,",,"혹시 평촌 경영고등학교에 윤채은이였나 윤채현 ? 윤희성 ? 뭐 아시는분 있으신가요

부득이하게 정보가 좀 필요해서요 부탁드립니다.","ㅎㅅ(49.172) 2024.12.14 02:04:26
조회 347 추천 2 댓글 3",추천 2,조회 347,2024.12.14 02:04:26,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=156&page=1
아 군대가기 싫다,,"여성 징병제 해라 시밧
프롬프트
a Roh Moo Hyun holding a koala,
네거티브
프롬프트
샘플링 DPM++ 2M Karras
스타일 None
- dc official App","ㅇㅇ(116.121) 2024.11.29 20:59:22
조회 121 추천 0 댓글 2",추천 0,조회 121,2024.11.29 20:59:22,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=155&page=1
꼬ㅌ튀,,"개심한데 나만그래?
- dc official App","평갤러(118.235) 2024.11.18 02:34:05
조회 197 추천 0 댓글 2",추천 0,조회 197,2024.11.18 02:34:05,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=154&page=1
평경불합격하고 일반고졸업후 4년제가면 ㅁㅌㅊ?,,ㅁㅌㅊ?,".(211.235) 2024.11.12 00:19:13
조회 315 추천 0 댓글 4",추천 0,조회 315,2024.11.12 00:19:13,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=153&page=1
고졸인 애들은 뭐하고살까,,궁금띠예,"짝사랑녀(211.36) 2024.11.08 03:42:45
조회 174 추천 0 댓글 3",추천 0,조회 174,2024.11.08 03:42:45,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=152&page=1
대학 안나온? 못나온? 고졸 현실 알려줄까?,,고졸 니들은 외노자랑 일자리 경쟁해야됨^^,"짝사랑녀(211.36) 2024.10.24 03:53:49
조회 198 추천 0 댓글 0",추천 0,조회 198,2024.10.24 03:53:49,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=151&page=1
후배들아 지금도 늦지 않았다,,"개같은 특성화 전형 버리고 수능 준비해라 수시로
니네가 아무리 평경에서 공부를 잘해도 2~3은 어차피
수안강산, 을평성대 라인 대학 간다. 더 높은 대학 가고 싶으면 수능이 답이 맞다.
만약 수시 쓸 생각이면 지방대쪽 고민도 해보고 입결 확인 잘하고 꼭 평경에서 다니던 과 아니여도 전형 잘 보면 원서 넣기 가능하니깐 이미 입시는 끝났지만 내년에도 고민 해봐
전문대 가서 편입 한다는 생각이면 너넨 어차피 편입 성공해도
전문대 꼬리표는 따라다닌다.
- dc official App","ㅇㅇ 2024.10.24 00:44:36
조회 336 추천 0 댓글 3",추천 0,조회 336,2024.10.24 00:44:36,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=150&page=1
평경 외조과에서 공부 조빠지게 하면 세종대 경희대 이런곳 갈 수 있음?,,내신 185?정도 나오는데 평경가서 경험 쌓으면서 공부하고 좋은 대학교 나와서 유학가고싶은데 ㅇㄸ 이럴바엔 차라리 좃반고 가는게 낫나?,"ㅇㅇ(106.101) 2024.10.22 00:52:18
조회 236 추천 0 댓글 5",추천 0,조회 236,2024.10.22 00:52:18,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=149&page=1
평경 vs 한조고,,성적은 나쁘지 않은데 요리사가 꿈이여서 둘중에 뭐갈지 고민중인데 추천좀,"ㅇㅇ(124.59) 2024.10.20 20:12:53
조회 170 추천 0 댓글 3",추천 0,조회 170,2024.10.20 20:12:53,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=147&page=1
