제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크
여기 분위기 어떤가요,,희망학교 써야하는데 분위기가 어떤지 모르겠어요,"백갤러(220.74) 2025.05.27 22:45:31
조회 59 추천 0 댓글 1",추천 0,조회 59,2025.05.27 22:45:31,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=248&page=1
백운고 노브라 유출 ㄷㄷ ㄹㅈㄷ;;,,- dc official App,"ㅇㅇ(175.116) 2025.05.03 15:05:02
조회 180 추천 1 댓글 0",추천 1,조회 180,2025.05.03 15:05:02,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=247&page=1
님들아 나 심심함,,놀아줘,"ㅇㅈㅅㅇ(211.118) 2025.03.09 23:48:18
조회 103 추천 0 댓글 0",추천 0,조회 103,2025.03.09 23:48:18,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=246&page=1
백운고 2학년 ㄱㄷㅎ,,ㅇㅅㄲ 만나면 명존쎄 ㄱㄱ,"ㅇㅈㅅㅇ(211.118) 2025.03.09 23:45:44
조회 165 추천 0 댓글 2",추천 0,조회 165,2025.03.09 23:45:44,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=245&page=1
ㅎㅇ,,ㅎㅇ,"0126h 2025.01.27 04:22:57
조회 77 추천 1 댓글 1",추천 1,조회 77,2025.01.27 04:22:57,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=243&page=1
개미는 개미인데 아픈 개미는?,,느개미다 시발럼아 나 음민호다 ㅈ같으면 ㅆㅈ들어와라,"백갤러(182.225) 2025.01.23 02:01:12
조회 96 추천 0 댓글 4",추천 0,조회 96,2025.01.23 02:01:12,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=242&page=1
오시온선생님 사랑합니다.,,"오시온선생님 사랑합니다.
학생들에게 진법변환을 알려주실 때 하나하나 자세하게 설명하시고 진법변환을 모르는 친구들에게  친절하게 설명해주셔서 감사합니다.
저도 진법변환이라는 걸 몰랐는데 오시온선생님때문에 진법변환의 개념을 알았습니다.
수업시간에 오시온선생님께서 학생들에게 진법변환을 친절하게 알려주시고 10진수를 2진수로 변환할때 왜 이렇게 되는지 증명도 해주셔서 너무 감동받았습니다.
저는 오시온 선생님한테 정보과학이랑 정보윤리랑 진법변환(10진수에서 2진수로 변환하는 방법,2진수에서 10진수로 변환하는 방법, 2진수에서 8지수로 변환하는 방법,8진수에서 2진수로 변환하는 방법, 2진수에서 8진수로 변환하는 방법,
8진수에서 2진수로 변환하는 방법, 8진수에서 16진수로 변환하는 방법
16진수에서 8진수로 변환하는 방법)의 개념을 배웠습니다.
오시온선생님때문에 정보과학이랑 정보윤리랑 진법변환의 개념및 활용을 알았습니다.
오시온선생님이 진법변환수업을 해주실때 이해가 잘되고 머리속에 기억이 남습니다.
오시온 선생님 사랑합니다.","백갤러(58.29) 2025.01.05 13:50:40
조회 89 추천 0 댓글 1",추천 0,조회 89,2025.01.05 13:50:40,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=240&page=1
아아아어어,,- dc official App,"ㅇㅇ(211.234) 2025.01.04 18:15:22
조회 30 추천 0 댓글 0",추천 0,조회 30,2025.01.04 18:15:22,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=238&page=1
백운고 03년생들아 올해는 꼭 잘해서 뜨거라,,"ㅇㅇ
- dc official App","03백붕(118.235) 2024.11.10 15:24:48
조회 132 추천 0 댓글 2",추천 0,조회 132,2024.11.10 15:24:48,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=237&page=1
님들은 진지하게 육사 붙으면 갈거임?,,생각 좀 들어볼게요,"ㅇㅇ(223.38) 2024.11.06 12:16:24
조회 88 추천 0 댓글 1",추천 0,조회 88,2024.11.06 12:16:24,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=235&page=1
갈뫼중 역사상 최고 GOAT,,"https://youtube.com/v/BGpzDoKupoM?si=5SFDHSy59n9rXpCY
 JS music
체육시간 활용 높은 음악 4*8카운트 총 5개BPM 115멋진 체육수업되세요!
youtube.com

이 브금을 들으면 심장이 다시 뜁니다..
그립읍니다.. GOAT.","백갤러(212.102) 2024.09.15 20:48:55
조회 213 추천 5 댓글 0",추천 5,조회 213,2024.09.15 20:48:55,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=233&page=1
나 권순존데,,다 싸지까자 싸워서 다 이길 자신있다 첫번째 상대로 김나경 부른다,"백갤러(182.225) 2024.08.10 22:16:34
조회 108 추천 0 댓글 1",추천 0,조회 108,2024.08.10 22:16:34,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=232&page=1
나 강준서인데,,개학하면 서열 정리 한다,"백갤러(182.225) 2024.08.10 22:11:00
조회 96 추천 0 댓글 0",추천 0,조회 96,2024.08.10 22:11:00,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=231&page=1
나 파란정수인데,,필요한 새끼들 연락해라 무한으로 채워준다,"백갤러(182.225) 2024.08.10 22:10:13
조회 65 추천 1 댓글 1",추천 1,조회 65,2024.08.10 22:10:13,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=230&page=1
ㅇ,,ㅇ,"백갤러(211.36) 2024.08.07 19:08:22
조회 30 추천 0 댓글 0",추천 0,조회 30,2024.08.07 19:08:22,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=229&page=1
ㅇ,,ㅇ,"백갤러(117.111) 2024.08.07 19:07:56
조회 14 추천 0 댓글 0",추천 0,조회 14,2024.08.07 19:07:56,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=228&page=1
민호 까불랑재끼네,,함 잡힐래,"백갤러(211.36) 2024.07.20 08:55:52
조회 98 추천 0 댓글 1",추천 0,조회 98,2024.07.20 08:55:52,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=227&page=1
나 민혼데,,나 잡는 새끼 전재산 35만원 준다 니네 빽 다부르고 덤벼 진짜 신고 안할테니까 대신 나도 빽부른다,"백갤러(182.225) 2024.07.19 15:30:27
조회 58 추천 0 댓글 0",추천 0,조회 58,2024.07.19 15:30:27,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=226&page=1
음민혼데,,추가로 내여자 내가 지킨다 백운 커플 조심해라 곧 너네 나때문에 깨진다,"백갤러(182.225) 2024.07.19 15:23:32
조회 135 추천 0 댓글 0",추천 0,조회 135,2024.07.19 15:23:32,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=225&page=1
1학년대장,,나 1학년 대장 음민혼데 최근에 픽시 뺏겻거든 예민하니까 건들지마라 건들면 학폭 빤다,"백갤러(182.225) 2024.07.19 15:18:07
조회 158 추천 0 댓글 4",추천 0,조회 158,2024.07.19 15:18:07,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=224&page=1
야이씨발련들아 나 동안고 원동민이다,,"백운고 1학년6반 씨발새끼들아 싸지 함 뜨자보지털도 못 추리게 만들어줄게 이개씨발푸씨들아
7월19일에 바이크 탄 나시보면 난줄 알아라","백갤러(125.178) 2024.07.15 00:57:17
조회 157 추천 2 댓글 1",추천 2,조회 157,2024.07.15 00:57:17,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=223&page=1
백운고 브롤 유저 봐라,,백운고 클럽에 상남자의 자질이라는 닉달고 브롤볼 크로우들고 5800딜 쳐 넣는 고@r유저는 자진해서 운지하세요,"ㅇㅇ(119.193) 2024.07.09 12:03:29
조회 78 추천 0 댓글 0",추천 0,조회 78,2024.07.09 12:03:29,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=222&page=1
집가고싶다,,- dc official App,"바른공부전용자습관 2024.05.31 18:37:31
조회 56 추천 0 댓글 0",추천 0,조회 56,2024.05.31 18:37:31,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=220&page=1
10출 300환 개꿀이다 친구포10콩 꽁짱,,,"백갤러(193.36) 2024.05.30 21:59:41
조회 71 추천 0 댓글 0",추천 0,조회 71,2024.05.30 21:59:41,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=219&page=1
어 나 졸업생인데,,"예아
- dc official App","바른공부전용자습관 2024.04.27 09:39:07
조회 92 추천 0 댓글 0",추천 0,조회 92,2024.04.27 09:39:07,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=217&page=1
신입 백붕이들에게 한마디,,"여기가 내신 그나마 쉽다고 말 들어서 왔을거임
근데 결국 공부는 결국 자신과의 싸움이라
본인처럼 탭 받고 갤질이나 하고 있으면 공부 망하는 거임
공부 습관은 중학교에서 크게 변하지 않을 거고
결국 2년뒤에는 후회만 남고 본인처럼 정시전사나 하고 있을거임
아무튼 이렇게 안되려면 마음 독하게 먹고
탭으로 디시 보지 마셈
이상","ㅇㅇ(61.77) 2024.03.04 13:00:07
조회 77 추천 1 댓글 0",추천 1,조회 77,2024.03.04 13:00:07,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=216&page=1
