제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크
호날두,,,"삼공조아 2025.07.09 22:44:50
조회 50 추천 0 댓글 0",추천 0,조회 50,2025.07.09 22:44:50,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=498&page=1
인생이 재미없노,,ㅈㄱㄴ,"삼공조아 2025.07.07 18:45:32
조회 58 추천 0 댓글 0",추천 0,조회 58,2025.07.07 18:45:32,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=496&page=1
누가 더 유명함 일론머스크 네이마르,,- dc official App,"디바(59.28) 2025.07.03 23:56:08
조회 49 추천 0 댓글 1",추천 0,조회 49,2025.07.03 23:56:08,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=494&page=1
똥싸고,,물좀 내려 ㅅㅂㄹㄷㅇ,"삼공조아 2025.06.30 08:29:17
조회 58 추천 0 댓글 0",추천 0,조회 58,2025.06.30 08:29:17,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=490&page=1
시험문제 알아내는법 알려준다,,ㅈㄱㄴ,"삼공조아 2025.06.29 12:54:39
조회 78 추천 0 댓글 0",추천 0,조회 78,2025.06.29 12:54:39,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=489&page=1
수시 개꿀팁 알려준다,,질문받는다,"삼공조아 2025.06.26 09:39:45
조회 62 추천 0 댓글 0",추천 0,조회 62,2025.06.26 09:39:45,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=487&page=1
실습실컴으로,,채굴햇엇다고?ㅋㅋㅋ,"삼공조아 2025.06.25 00:28:26
조회 72 추천 0 댓글 0",추천 0,조회 72,2025.06.25 00:28:26,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=486&page=1
체육대회 찬/반,,ㅇㄴ ㅆㅂ ㅋㅋ 체육대회 반대하는놈들은 뭐냐 ㅋㅋ 확 갖다 운동장에 꽂아벌라 안할거면 운동장에 찌그러져 있으세요,"삼갤러(211.234) 2025.06.24 08:49:07
조회 66 추천 1 댓글 0",추천 1,조회 66,2025.06.24 08:49:07,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=484&page=1
ㅎㅇ,,ㅎㅇ,"삼공조아 2025.06.17 08:34:25
조회 82 추천 0 댓글 1",추천 0,조회 82,2025.06.17 08:34:25,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=475&page=1
2026 신입생은 꼭 봐라,,"삼일공고는 학생한테 사전투표를 강요하는 학교다

알아서 생각하고 

공고는 수원공고가 더 좋다 게이들아

여기오지마라 차라리 도박을 해라 

-현재 재학생임-","삼갤러(211.114) 2025.05.29 11:41:20
조회 188 추천 5 댓글 1",추천 5,조회 188,2025.05.29 11:41:20,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=468&page=1
