제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크
서천고 2학년 ㅂㅇㅅ,,"서천고 2학년 2반에 백ㅇ산이라고 있지 않음??
그 친구 축구 잘하지도 않는데 왜케 나대는거임??????? 진짜 못 봐주겠다
정신 좀 차리라고 하셈.. 진심 살면서 공 3번 차본 내가 한 한달만 하면 훨 잘할 듯 ㄹㅇㅋㅋ","서갤러(125.138) 2025.06.22 16:38:34
조회 61 추천 2 댓글 1",추천 2,조회 61,2025.06.22 16:38:34,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=33&page=1
나 2학년 선효빈인데,,맞짱 신청받는다 2학년 1반으로와라,"서갤러(210.182) 2025.06.10 13:39:55
조회 64 추천 1 댓글 1",추천 1,조회 64,2025.06.10 13:39:55,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=32&page=1
티비위키 사용 후기와 화질 비교,,"요즘 티비위키로 드라마 정주행하는 사람이 많더라. 나도 한 번 써봤는데, 진짜 편하더라. 예전에는 이런 정보 찾으려고 여기저기 검색하는 것도 일이었는데, 티비위키 덕에 한 방에 해결돼서 시간 절약이 장난 아니야. 근데 화질 부분은 좀 아쉽더라. 가끔씩 화질이 떨어지는 경우가 있긴 한데, 뭐 그 정도는 감수할만하지 않겠어? 특히 요즘 핫한 드라마들 정보 정리도 빠르고, 덕분에 몰입해서 볼 수 있더라고. 다른 사람들은 어떻게 느꼈는지 궁금한데, 혹시 나만 이런가? 티비위키 덕분에 더 많은 드라마를 시간 낭비 없이 즐길 수 있어서 개인적으로는 만족 중!","서갤러(61.250) 2025.01.16 09:27:57
조회 3811 추천 0 댓글 0",추천 0,조회 3811,2025.01.16 09:27:57,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=31&page=1
3학년 김은우 찾아와라,,맞짱깔라 나 장애인이라 너내 나 못건드릴다,"김은우(58.232) 2024.08.18 23:02:27
조회 322 추천 2 댓글 5",추천 2,조회 322,2024.08.18 23:02:27,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=29&page=1
나 서천고 교장 이병준이다,,"나 서천고 교장 이병준인데 병준아 ㅅㅂ 정신좀 차리자 왜 ㅅㅂ 방학이 이렇게 짧아 ㅅㅂ 이게맞냐? 좀 정신좀 차려라
- dc official App","서갤러(1.245) 2024.08.12 21:01:22
조회 210 추천 1 댓글 1",추천 1,조회 210,2024.08.12 21:01:22,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=28&page=1
서고갤 ㅈ노잼이노,,직갤로 와라,"서갤러(118.235) 2024.06.26 21:53:07
조회 232 추천 0 댓글 2",추천 0,조회 232,2024.06.26 21:53:07,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=26&page=1
나 서천고 1학년 1반 윤영호인데,,"서여고여자 먹고싶다
- dc official App","서갤러(180.81) 2024.06.17 09:31:05
조회 228 추천 0 댓글 0",추천 0,조회 228,2024.06.17 09:31:05,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=25&page=1
나 서천고 나용현인데,,아무여자나 따먹고싶다 뚱녀도 가능이다,"보딩고지 2024.06.12 11:23:07
조회 262 추천 3 댓글 2",추천 3,조회 262,2024.06.12 11:23:07,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=24&page=1
Me too,,내가 대신 쳐줄까??,"김*훈(180.81) 2024.04.12 10:27:28
조회 158 추천 0 댓글 0",추천 0,조회 158,2024.04.12 10:27:28,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=21&page=1
아지금수업중인데집가서빨리치고싶다,,품번공유해줘라,"신ㄱ(106.101) 2024.04.12 10:26:30
조회 292 추천 2 댓글 1",추천 2,조회 292,2024.04.12 10:26:30,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=20&page=1
