제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크
07 공부 솔직히 거품인듯ㅋㅋ,,수성고 2학년 고한결선에서 정리당함 ㅋㅋ,"수갤러(118.235) 2025.06.27 23:37:20
조회 188 추천 2 댓글 1",추천 2,조회 188,2025.06.27 23:37:20,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=112&page=1
진짜 0908병신밖에 없네,,ㅈㄱㄴ,"수갤러(116.127) 2025.06.21 16:04:42
조회 178 추천 0 댓글 0",추천 0,조회 178,2025.06.21 16:04:42,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=111&page=1
저의 디시갤 게시물 관련해서 다시 한번 사과드립니다.,,제 게시물로 인해 상처입으신 모든 분께 죄송합니다.,"수갤러(125.178) 2025.05.23 15:48:24
조회 228 추천 1 댓글 0",추천 1,조회 228,2025.05.23 15:48:24,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=109&page=1
아랫글 뭔 개소리냐,,내가 글쓴 사람이고 사과할 생각 없다.,"수갤러(211.114) 2025.04.23 13:36:51
조회 362 추천 1 댓글 1",추천 1,조회 362,2025.04.23 13:36:51,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=108&page=1
"수성고 학우, 교사 여러분께",,,"수갤러(211.114) 2025.04.23 13:36:36
조회 480 추천 1 댓글 0",추천 1,조회 480,2025.04.23 13:36:36,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=107&page=1
"수성고 학우, 교사 여러분께",,"이 게시물엔 안 올라왔지만, 1학년 교사분들께도 죄송합니다.","수갤러(211.114) 2025.04.23 13:16:05
조회 611 추천 3 댓글 12",추천 3,조회 611,2025.04.23 13:16:05,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=106&page=1
나는 에렌예거인거같애,,어제 코피가 났는데 갑자기 진격의 거인이되서 우리 엄마 아빠 다 죽엇어,"수갤러(211.114) 2025.04.23 09:16:11
조회 244 추천 2 댓글 1",추천 2,조회 244,2025.04.23 09:16:11,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=104&page=1
수성고 미남 순위 ㄱㄱ 3학년,,1등 ㄴㄱ임? 난 개인적으로 김건식,"수갤러(211.114) 2025.04.23 09:11:03
조회 424 추천 2 댓글 0",추천 2,조회 424,2025.04.23 09:11:03,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=102&page=1
수성게이,,제발 게이새끼들 학교에서 입닥치고 조용히 있어라 뒤에서 시끄럽게 굴지말고,"수갤러(210.96) 2025.03.22 12:51:10
조회 296 추천 2 댓글 1",추천 2,조회 296,2025.03.22 12:51:10,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=100&page=1
명문 수성고 학생들은 이재명 대통령을 공식 지지합니다!,,이재명 화이팅!,"수갤러(118.235) 2025.01.30 01:21:28
조회 619 추천 13 댓글 3",추천 13,조회 619,2025.01.30 01:21:28,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=97&page=1
후배 수성인들에게,,"니들은 ㅈ됐다 ㅋㅋㅋ

수성고 오면 그래도 내신 따기 어려운거 감수하고 왔는데 수시로 어느정도는 잘 가겠지?

어림도 없지

다른 옆 ㅈ반고들만 못한 수시 입결의 참담함에 고개 숙이게 될 것이다. 정시 준비 ㅈ빠지게 해라.
- dc official App","06수성통통범부(112.153) 2024.12.31 14:08:30
조회 554 추천 0 댓글 2",추천 0,조회 554,2024.12.31 14:08:30,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=95&page=1
우리과 존예 여대생 에타에 박제됐네 ㄷㄷ,,헐 콧수염,"ㅇㅇ(211.234) 2024.12.25 22:35:55
조회 588 추천 0 댓글 0",추천 0,조회 588,2024.12.25 22:35:55,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=94&page=1
수성고 24년도 설대 몇명 보냈나요?,,"24년 수원 일반계 고등학교에서 설대 간 인원 아는 학교는 3곳뿐임

창현고 8명
영복여고 5명
동원고 3명


번외)수원외고가 9명

수성은 몇명보냄?","ㅇㅇ(221.163) 2024.10.14 22:32:44
조회 813 추천 1 댓글 2",추천 1,조회 813,2024.10.14 22:32:44,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=93&page=1
수성고 딥페 상황 보고할수있도록.,,본인은 믿을만한 인물이니 편하게 말하도록.,"ㅇㅇ(160.238) 2024.08.26 21:37:56
조회 951 추천 0 댓글 0",추천 0,조회 951,2024.08.26 21:37:56,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=92&page=1
