제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크
수원정보과학고,,"등학교
- dc official App","내가아니면누가해 2025.08.02 13:38:25
조회 13 추천 0 댓글 0",추천 0,조회 13,2025.08.02 13:38:25,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=47&page=1
수원정보과학고 갤러리 만든 사람 찾는다,,수정고 갤 만든 애 누군지 알고싶다.,"ㄱㄱㄱㄱ(211.114) 2025.07.15 14:28:56
조회 42 추천 0 댓글 3",추천 0,조회 42,2025.07.15 14:28:56,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=46&page=1
떡칠사람,,7월16일 오후 8시에 정문으로 와라 남자만~ 진짜 맛있는거 줄겡,"떡칠사람(211.114) 2025.07.15 14:28:35
조회 37 추천 0 댓글 1",추천 0,조회 37,2025.07.15 14:28:35,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=45&page=1
하아졸리노,,개졸리노무현 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"ㅇㅇ(211.114) 2025.07.15 14:01:59
조회 20 추천 0 댓글 0",추천 0,조회 20,2025.07.15 14:01:59,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=42&page=1
하졸리노,,수업 듣기 싫다.......................................................................................................................................................................................................................................................................................................................................................................................,"ㅇㅇ(211.114) 2025.07.07 09:15:51
조회 25 추천 0 댓글 0",추천 0,조회 25,2025.07.07 09:15:51,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=39&page=1
2025 gg,,이번년도 회장은 뺑이나 쳐라,"ㅇㅇ(211.234) 2025.07.04 15:47:59
조회 38 추천 4 댓글 0",추천 4,조회 38,2025.07.04 15:47:59,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=38&page=1
나 1학년2반 전자과 김민찬인데,,"나 김민찬인데 전자과 1짱이거든?
나랑 진지하게 야차 뜰 사람 우리반으로 와라","김민찬(211.114) 2025.06.05 11:02:27
조회 104 추천 0 댓글 6",추천 0,조회 104,2025.06.05 11:02:27,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=37&page=1
근데 여긴 공고임 상고임?,,,"ㅁㅣ오 2025.05.18 23:01:03
조회 77 추천 0 댓글 2",추천 0,조회 77,2025.05.18 23:01:03,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=36&page=1
븅신학교,,ㅇ,"게일리(49.171) 2025.04.06 18:30:28
조회 94 추천 0 댓글 1",추천 0,조회 94,2025.04.06 18:30:28,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=35&page=1
수원정보과학고 불합격하고 일반고가면 ㅁㅌㅊ?,,ㅁㅌㅊ??,".(1.247) 2025.02.05 22:54:53
조회 316 추천 1 댓글 3",추천 1,조회 316,2025.02.05 22:54:53,https://gall.dcinside.com/mini/board/view/?id=tndnjswjdqh&no=33&page=1
