제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크
니들 이건 알고 갤질하냐?,[일반],흥갤 109위 달성함,굼밧,추천 3,조회 114,2025.06.27 15:41:54,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4152&page=1
3학년으로서 조언 한마디 한다,[일반],"디마고는 개찐따년들이 많아서 좃도 아닌걸로 트집잡고 일키우는경우가 많음, 그게 3년 내내까지 이어질수도 있음
니들은 이제 생기부도 챙겨야 한다고 들었는데 남 일에는 참견가지고 똥굴싸는거보다 니 할거 하는게 인생에 5000퍼 도움됨
나중에 일 커지면 선생님 부모님 너 다 고생한다 조심해서 생활하렴",디갤러,추천 3,조회 104,2025.06.27 15:24:03,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4151&page=1
펜션 어쩌고 그거,[일반],타학교 학생인데 원글 캡본 스공해도 되냐?,디갤러,추천 1,조회 566,2025.06.26 23:29:03,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4147&page=1
연관없는 제3자인데,[일반],여기다가 고발글쓰는 2학년도 어지간히도 찐따같음,ㅇㅇ,추천 9,조회 342,2025.06.26 23:13:43,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4146&page=1
아…….,[일반],딤갤 지 혼자 쓰나……..,디갤러,추천 7,조회 334,2025.06.26 22:56:03,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4144&page=1
공 론 화,[잡담],알 권 리,디갤러,추천 0,조회 313,2025.06.26 22:50:41,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4143&page=1
ㅋㅋ,[일반],웃기네,굼밧,추천 5,조회 347,2025.06.26 22:49:37,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4142&page=1
학생들의 알 권리?ㅋㅋㅋ,[일반],"진짜 진심으로 얘기하는건가

사실이건 아니건 당사자 아니면 좀 가만히 있어",Dimigo,추천 13,조회 533,2025.06.26 22:47:58,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4141&page=1
정시할 거면 신안해양과학고로 와라,[일반],"학교에서 수능공부하라고 수특 지원비 10만원 주고
해양산업의 이해는 선택자수 17명이다 ㅋ",디갤러,추천 1,조회 236,2025.06.26 22:10:36,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4138&page=1
민감한내용이라 삭제함,[일반],광고실명언급분탕야짤은 호출글로 신고 ㄱㄱ,Dimigo,추천 2,조회 513,2025.06.26 22:09:41,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4137&page=1
븅신들,[일반],디시 지금 유입돼서 아이피 같으면 지가 지 게시물에 댓글다노! 역겹노! 이지랄하는데… 에휴… 모르면 좀 닥쳐라,디갤러,추천 3,조회 218,2025.06.26 22:09:36,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4136&page=1
병신,[일반],"쫄아서 지우는거봐라
무섭긴했나보네",디갤러,추천 0,조회 201,2025.06.26 22:07:47,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4135&page=1
와 22기 역대급 사건 발생..,[일반],"갑자기 건물 터지는 소리 나서 가보니
총기난사 일어났다..
하… 다들 조심해라",디갤러,추천 5,조회 397,2025.06.26 22:03:54,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4133&page=1
지금 사태 궁금한 여학우 있어?,[일반],"궁금하면 신관 웹플로 와~
- dc official App",디갤러,추천 0,조회 457,2025.06.26 22:01:59,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4132&page=1
디미고갤에 방문한 타학교 학생들.arabjoa,[일반],"보통 단소고나 선린에서 오면 ip가 디미고ip가 아닌데 오늘 갑자기 다른 고등학교에서 디미갤을 천히 방문해주셨다.
과연 이게 진짜일까??
대 한 국 디 지 털 미 디 어 고 등 학 교의 위상이 높아진걸까?



1
이미지 순서 ON


220.88.... 수원공고에서도 220.88이란 ip를 쓰나봐요

그렇다면 선린인터넷고등학교에서 왔다고 주장하는 글은?



2
이역시 220.88
선린인터넷고등학교도 디미고와 똑같은 인터넷을 공유하나봄..

그렇다면 디미고에 입학하고 싶어하는 예비신입생은?



3
그렇다
134.8이라는 낮은 점수를 가진 사람은
사실 디미고 재학생이였다

이쯤되니까 존나 추해보이면 개추 ㅋㅋ",디갤러,추천 8,조회 345,2025.06.26 21:56:27,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4130&page=1
